Cox5a,0
Atp5d,1
Apobec3,2
Cox6c,3
Ndufa1,4
Cox7c,5
Atp5g3,6
Uqcrb,7
Ndufs4,8
Atp5j,9
Atp5o,10
Cox7a2l,11
Atp5b,12
Atp5a1,13
Atp5c1,14
Ndufa4,15
Cox4i1,16
Atp5h,17
Cox8a,18
Cox6b1,19
Atp5l,20
Trir,21
Cox6a1,22
Ndufa7,23
Cox5b,24
Uqcrh,25
mt-Co1,26
mt-Co3,27
mt-Cytb,28
Tspan32,29
Itgb1,30
Itga6,31
Cd9,32
Cd19,33
Itgb2,34
Itgb3,35
Fermt3,36
Fn1,37
Rassf5,38
Sell,39
Itga4,40
Tln1,41
Tyrobp,42
Itgam,43
Itgal,44
Cd226,45
Vav1,46
Itga2b,47
Pik3cd,48
Prkd2,49
Selplg,50
Rap1b,51
Ptk2b,52
Rap1a,53
Alox12,54
Cyp4f18,55
Ccm2,56
Map2k3,57
Map3k3,58
Raf1,59
Akt1,60
Rhoa,61
Ywhab,62
Lsp1,63
Arrb1,64
Ywhah,65
Akt3,66
Ywhae,67
Prkcd,68
Ywhaz,69
Nfkb1,70
Prkcb,71
Arrb2,72
Ywhaq,73
Atp5pb,74
Atp5e,75
Atp5mpl,76
mt-Atp8,77
mt-Atp6,78
Atp5md,79
Hnrnpd,80
Hnrnpk,81
Hnrnpu,82
Hnrnpa3,83
Gm2a,84
Hexa,85
Haao,86
Cat,87
Cd52,88
Siglecg,89
Rpl13,90
Rps11,91
Rpl8,92
Rps9,93
Rplp1,94
Rps18,95
Rpl10,96
Rps15a,97
Rps25,98
Rpl15,99
Rps5,100
Rpl19,101
Rack1,102
Rps27a,103
Rps14,104
Cd74,105
Rps24,106
Rps26,107
Rplp2,108
Rpl14,109
Eef1b2,110
Rps3a1,111
Rps20,112
Rps6,113
Rpl22,114
Rpl6,115
Rpl28,116
Arl6ip1,117
Rps3,118
Rps4x,119
Rpl4,120
Rpsa,121
Rps29,122
Eef2,123
Serbp1,124
Rps16,125
Eef1a1,126
Rpl10a,127
Fau,128
Rpl12,129
Rps21,130
Rpl22l1,131
Rps19,132
Rpl21,133
Nop53,134
Rpl37,135
Rpl7,136
Rps2,137
Rpl18a,138
Rpl37a,139
Rpl27a,140
Rpl9,141
Rps8,142
Rpl29,143
Rps23,144
Rpl36al,145
Rps27rt,146
Rps10,147
Rpl38,148
Rpl32,149
Rpl36,150
Rpl10-ps3,151
Rpl23a,152
Rpl5,153
Rpl30,154
Rpl18,155
Rpl11,156
Rpl3,157
Tpt1,158
Rpl35a,159
Rpl26,160
Naca,161
Rps7,162
Rps17,163
Rps12,164
Rpl34,165
Rpl17,166
Rpl7a,167
Rpl35,168
Rpl27,169
Rps15,170
Rplp0,171
Rps28,172
Gm11808,173
Rpl23,174
Eef1g,175
Rpl31,176
Rpl13a,177
Gm2000,178
Eif5a,179
Rpl36a,180
Rpl39,181
Uba52,182
Rps13,183
Rpl41,184
Rpl24,185
Ddx3x,186
Eif3a,187
Birc3,188
Bcl11a,189
Arid1a,190
S100a4,191
Myh9,192
Anxa2,193
Trp53,194
S100a6,195
S100a10,196
Mxd1,197
Sin3b,198
Max,199
Calm1,200
Myo1c,201
Calm3,202
Calm2,203
Itgb7,204
Actb,205
Flna,206
Actg1,207
Pfdn5,208
Cct4,209
Mef2d,210
Mef2c,211
Nfatc3,212
Nfatc1,213
Kpnb1,214
Lbr,215
Nup153,216
Tcf25,217
Vcp,218
Tubb5,219
Dync1h1,220
Tuba1b,221
Tuba4a,222
Tubb4b,223
Tuba1a,224
Cdkn1b,225
Stat3,226
Cyba,227
Cdc42,228
Ctnnb1,229
Ppp2r1a,230
Pten,231
Cybb,232
Ncf1,233
Hsp90b1,234
Hsp90aa1,235
Hsp90ab1,236
Arhgdia,237
Ncf2,238
Hspa5,239
Itpr1,240
Iqgap1,241
Ilk,242
Ikbkb,243
Ogt,244
Mapk14,245
Gapdh,246
Mapk1,247
Ncf4,248
Capns1,249
Cast,250
20240907,251
Mapk6,252
20240909,253
Rac1,254
Dock2,255
Ltbp1,256
Tgfb1,257
Thbs1,258
Uba1,259
Ubc,260
Ubb,261
Uba7,262
Ube2d3,263
Ube2d2a,264
Vwf,265
Pf4,266
Gp9,267
Gp5,268
Gp1ba,269
Gp6,270
Idh3g,271
Ogdh,272
Bcap31,273
Fis1,274
Kmt2a,275
Crebbp,276
Kmt2d,277
Spi1,278
Irf1,279
Fos,280
Runx1,281
Csf1r,282
Csf3r,283
Pml,284
Rara,285
Irf8,286
Stat6,287
Jak2,288
Jak1,289
Il4ra,290
Il2rg,291
Napsa,292
Ctsh,293
Use1,294
Stx5a,295
Puf60,296
Sf3b1,297
Fubp1,298
Sf3b3,299
Tgfbr2,300
mt-Nd1,301
Flii,302
Lrrfip1,303
Adgre5,304
Cd55,305
Apoe,306
Clu,307
Snca,308
Hp,309
Sorl1,310
Prkar2b,311
Prkar1a,312
Ccnd3,313
Skp1a,314
Rab8a,315
Rab11a,316
Sqstm1,317
Hmgn2,318
Atp6v1f,319
Sdha,320
Atp6v0c,321
Atp6v0b,322
Irf3,323
Tmem173,324
Ddx58,325
Ep300,326
Cd79a,327
Syk,328
Ms4a1,329
Cd22,330
Btk,331
Cd79b,332
Lyn,333
Blnk,334
Eif5,335
Eif3h,336
Nop56,337
Eif3c,338
Eif3f,339
Eif1,340
Eif3k,341
Nsa2,342
Mrpl33,343
Man1a,344
Mgat1,345
Calr,346
Canx,347
Tapbp,348
Ncl,349
Pdia3,350
Tap1,351
B2m,352
Btf3,353
Nr3c1,354
Stat1,355
Hdac1,356
Il21r,357
